date,ticker,call_volume,put_volume,total_volume,call_open_interest,put_open_interest
2025-07-18,MNDY,115.0,85.0,200.0,1222.0,519.0
2025-07-18,INTU,847.0,347.0,1194.0,6030.0,10009.0
2025-07-18,AVGO,20959.0,11880.0,32839.0,143654.0,154130.0
2025-07-18,PLTR,88962.0,62484.0,151446.0,362909.0,361042.0
2025-07-18,NOW,1465.0,7055.0,8520.0,13275.0,9089.0
2025-07-18,LLY,8796.0,6287.0,15083.0,69296.0,25669.0
2025-07-18,AU,581.0,2363.0,2944.0,23795.0,45821.0
2025-07-18,APP,17384.0,6783.0,24167.0,58848.0,47407.0
2025-07-18,EA,169.0,3468.0,3637.0,6866.0,3557.0
2025-07-18,URBN,358.0,323.0,681.0,3775.0,3280.0
2025-07-18,FOX,56.0,5.0,61.0,292.0,108.0
2025-07-18,MSFT,42696.0,24814.0,67510.0,180189.0,170028.0
2025-07-18,GOOGL,91287.0,31904.0,123191.0,328251.0,204298.0
2025-07-18,NFLX,80219.0,91475.0,171694.0,101561.0,106061.0
2025-07-18,GE,5516.0,2085.0,7601.0,108128.0,47946.0
2025-07-18,TTE,23.0,61.0,84.0,5821.0,1263.0
2025-07-18,CVX,26151.0,21621.0,47772.0,71172.0,40245.0
2025-07-18,PEP,5585.0,3278.0,8863.0,84560.0,200499.0
2025-07-18,CME,385.0,52.0,437.0,5649.0,4229.0
2025-07-18,FAST,786.0,1866.0,2652.0,15969.0,5569.0
2025-07-18,ZION,109.0,849.0,958.0,1605.0,8459.0
2025-07-18,HON,678.0,269.0,947.0,12909.0,12589.0
2025-07-18,IPO,147.0,12.0,159.0,567.0,17.0
2025-07-18,MS,1744.0,1629.0,3373.0,53566.0,57263.0
2025-07-18,AMZN,81163.0,38772.0,119935.0,363726.0,263049.0
2025-07-18,SOFI,63448.0,13504.0,76952.0,267109.0,352560.0
2025-07-18,SHOP,11614.0,1288.0,12902.0,48486.0,45777.0
2025-07-18,ADBE,2174.0,9149.0,11323.0,35356.0,17331.0
2025-07-18,BABA,81746.0,12833.0,94579.0,189608.0,85629.0
2025-07-18,TSM,32081.0,17080.0,49161.0,136920.0,194470.0
2025-07-18,KHC,4706.0,277.0,4983.0,48707.0,42302.0
2025-07-18,STZ,554.0,699.0,1253.0,19584.0,13175.0
2025-07-18,CPB,202.0,482.0,684.0,9534.0,3273.0
2025-07-18,FTCI,294.0,103.0,397.0,948.0,123.0
2025-07-18,PROP,21.0,4.0,25.0,314.0,558.0
2025-07-18,FTC,3.0,1.0,4.0,4.0,3.0
2025-07-18,ASML,4913.0,6443.0,11356.0,25647.0,24099.0
2025-07-18,TOST,2190.0,948.0,3138.0,21697.0,27443.0
2025-07-18,ELF,1206.0,3207.0,4413.0,13834.0,8814.0
2025-07-18,RBLX,4002.0,3834.0,7836.0,77722.0,103637.0
2025-07-18,TOUR,1.0,0.0,1.0,197.0,0.0
2025-07-18,STRL,71.0,187.0,258.0,624.0,847.0
2025-07-18,PRIM,48.0,61.0,109.0,876.0,657.0
2025-07-18,HDV,11.0,2.0,13.0,42.0,12.0
2025-07-18,SCHD,569.0,1568.0,2137.0,17955.0,7730.0
2025-07-18,AM,809.0,47.0,856.0,2936.0,1157.0
2025-07-18,AMD,142656.0,75236.0,217892.0,408391.0,314118.0
2025-07-18,ACHR,21214.0,4296.0,25510.0,180660.0,97401.0
2025-07-18,CGNX,502.0,47.0,549.0,178.0,267.0
2025-07-18,FSLR,2386.0,2440.0,4826.0,93609.0,35593.0
2025-07-18,LW,203.0,1039.0,1242.0,26074.0,24173.0
2025-07-18,SAM,156.0,1491.0,1647.0,899.0,584.0
2025-07-18,ANET,2367.0,564.0,2931.0,38571.0,20727.0
2025-07-18,LION,101.0,2.0,103.0,1490.0,115.0
2025-07-18,DAVE,455.0,3853.0,4308.0,3324.0,1778.0
2025-07-18,VNET,4968.0,49.0,5017.0,18600.0,9163.0
2025-07-18,NEGG,9.0,0.0,9.0,581.0,1.0
2025-07-20,TW,1362.0,361.0,1723.0,1365.0,169.0
2025-07-20,NVDA,427993.0,350330.0,778323.0,419174.0,410179.0
2025-07-20,WM,1024.0,303.0,1327.0,4139.0,2456.0
2025-07-20,TALK,23.0,27.0,50.0,507.0,74.0
2025-07-20,MAPS,3.0,7.0,10.0,26.0,5.0
2025-07-20,PG,3229.0,1608.0,4837.0,12741.0,3372.0
2025-07-20,E,38.0,131.0,169.0,480.0,401.0
2025-07-20,EIX,424.0,433.0,857.0,11795.0,5241.0
2025-07-20,PCG,1417.0,999.0,2416.0,16219.0,3693.0
2025-07-20,JBL,113.0,1240.0,1353.0,1032.0,2527.0
2025-07-20,EPS,5.0,0.0,5.0,10.0,0.0
2025-07-20,PFE,8784.0,6416.0,15200.0,26951.0,52982.0
2025-07-20,B,1074.0,573.0,1647.0,6753.0,1127.0
2025-07-20,JNJ,4827.0,1273.0,6100.0,12875.0,4234.0
2025-07-20,AI,21743.0,2096.0,23839.0,85359.0,8203.0
2025-07-20,ORCL,18114.0,9349.0,27463.0,35804.0,15439.0
2025-07-20,U,9308.0,2020.0,11328.0,31715.0,20140.0
2025-07-20,STT,420.0,181.0,601.0,3519.0,2490.0
2025-07-20,LMT,1893.0,2670.0,4563.0,2410.0,2666.0
2025-07-20,S,385.0,92.0,477.0,6287.0,1154.0
2025-07-20,NVMI,129.0,141.0,270.0,11143.0,2544.0
2025-07-20,MNDY,196.0,140.0,336.0,3522.0,2280.0
2025-07-20,INTU,426.0,342.0,768.0,775.0,609.0
2025-07-20,AVGO,18065.0,16401.0,34466.0,27540.0,28103.0
2025-07-20,PLTR,90183.0,84946.0,175129.0,188937.0,105664.0
2025-07-20,NOW,1770.0,2237.0,4007.0,2868.0,3154.0
2025-07-20,LLY,7080.0,6171.0,13251.0,7674.0,9362.0
2025-07-20,AU,1645.0,499.0,2144.0,9130.0,6839.0
2025-07-20,APP,25175.0,5740.0,30915.0,20525.0,7691.0
2025-07-20,EA,947.0,94.0,1041.0,863.0,848.0
2025-07-20,URBN,138.0,103.0,241.0,170.0,243.0
2025-07-20,FOX,1.0,0.0,1.0,5.0,4.0
2025-07-20,MSFT,49371.0,28138.0,77509.0,88091.0,43014.0
2025-07-20,GOOGL,63728.0,28529.0,92257.0,111691.0,56026.0
2025-07-20,NFLX,75819.0,57349.0,133168.0,22994.0,18454.0
2025-07-20,GE,6793.0,2324.0,9117.0,26868.0,8641.0
2025-07-20,TTE,3376.0,299.0,3675.0,20468.0,6483.0
2025-07-20,CVX,24068.0,13301.0,37369.0,12680.0,10934.0
2025-07-20,PEP,6196.0,5111.0,11307.0,9699.0,11267.0
2025-07-20,CME,882.0,375.0,1257.0,4124.0,3289.0
2025-07-20,FAST,3709.0,375.0,4084.0,12013.0,8546.0
2025-07-20,ZION,261.0,446.0,707.0,1648.0,2427.0
2025-07-20,HON,631.0,174.0,805.0,4670.0,2252.0
2025-07-20,IPO,1.0,0.0,1.0,5.0,0.0
2025-07-20,MS,1725.0,2873.0,4598.0,13925.0,5314.0
2025-07-20,AMZN,119389.0,49611.0,169000.0,159052.0,74986.0
2025-07-20,SOFI,80135.0,34601.0,114736.0,127221.0,87436.0
2025-07-20,SHOP,5627.0,4978.0,10605.0,15465.0,14096.0
2025-07-20,ADBE,4320.0,5102.0,9422.0,9065.0,3326.0
2025-07-20,BABA,91653.0,13967.0,105620.0,57290.0,21667.0
2025-07-20,TSM,19010.0,15355.0,34365.0,35138.0,30798.0
2025-07-20,KHC,1129.0,427.0,1556.0,13254.0,8546.0
2025-07-20,STZ,797.0,437.0,1234.0,987.0,825.0
2025-07-20,CPB,502.0,654.0,1156.0,3252.0,6312.0
2025-07-20,FTCI,16.0,0.0,16.0,24.0,0.0
2025-07-20,PROP,114.0,6.0,120.0,1520.0,37.0
